expected test suites for the migration smoke evidence

This file is the PAIRING CONTRACT.  smoke-checks.sh reads it and refuses to
report a capture complete when a suite listed here is missing from the capture
directory it just wrote.  It is generated by install-surefire-evidence.sh
--manifest from the two installed archives, never edited by hand: a hand-edited
contract can be made to agree with whatever happens to be on disk, which is the
opposite of a contract.

Each row is  <sides>  <module>/TEST-<fully.qualified.Class>.xml  where <sides>
is BOTH, BASELINE-ONLY or MIGRATED-ONLY.  A row that is not BOTH is an unpaired
suite: the migration cannot be shown to have preserved its behaviour, because
there is nothing to compare on one side.  Unpaired rows are listed rather than
dropped, so the gap is a named, countable fact instead of a silent absence.

suites-in-both: 278
suites-baseline-only: 0
suites-migrated-only: 7
suites-total: 285

----- rows -----
BOTH           acm-activiti-configuration/TEST-com.armedia.acm.activiti.services.AcmBpmnServiceTest.xml
BOTH           acm-admin-plugin/TEST-com.armedia.acm.plugins.admin.web.api.GetTranscribeConfigurationAPIControllerTest.xml
BOTH           acm-admin-plugin/TEST-com.armedia.acm.plugins.admin.web.api.RolesPrivilegesServiceTest.xml
BOTH           acm-admin-plugin/TEST-com.armedia.acm.plugins.admin.web.api.SaveTranscribeConfigurationAPIControllerTest.xml
BOTH           acm-alfresco-rma-integration/TEST-com.armedia.acm.plugins.alfrescorma.service.AcmCaseFileClosedListenerTest.xml
BOTH           acm-alfresco-rma-integration/TEST-com.armedia.acm.plugins.alfrescorma.service.AcmCaseFileStatusChangedListenerTest.xml
BOTH           acm-alfresco-rma-integration/TEST-com.armedia.acm.plugins.alfrescorma.service.AcmComplaintClosedListenerTest.xml
BOTH           acm-alfresco-rma-integration/TEST-com.armedia.acm.plugins.alfrescorma.service.AcmComplaintFolderListenerTest.xml
BOTH           acm-alfresco-rma-integration/TEST-com.armedia.acm.plugins.alfrescorma.service.AcmFileDeclareRequestListenerTest.xml
BOTH           acm-alfresco-rma-integration/TEST-com.armedia.acm.plugins.alfrescorma.service.AcmFileListenerTest.xml
BOTH           acm-alfresco-rma-integration/TEST-com.armedia.acm.plugins.alfrescorma.service.AcmFolderDeclareRequestListenerTest.xml
BOTH           acm-audit-plugin/TEST-com.armedia.acm.plugins.audit.api.GetAuditByObjectTypeAndObjectIdAPIControllerTest.xml
BOTH           acm-case-file-plugin/TEST-com.armedia.acm.plugins.casefile.dao.QueuePropertyFileChangeWatcherTest.xml
BOTH           acm-case-file-plugin/TEST-com.armedia.acm.plugins.casefile.dao.SpelTest.xml
BOTH           acm-case-file-plugin/TEST-com.armedia.acm.plugins.casefile.service.CaseFileAccessControlRulesTest.xml
BOTH           acm-case-file-plugin/TEST-com.armedia.acm.plugins.casefile.service.CaseFileEventListenerTest.xml
BOTH           acm-case-file-plugin/TEST-com.armedia.acm.plugins.casefile.service.CaseFileNextPossibleQueuesBusinessRuleTest.xml
BOTH           acm-case-file-plugin/TEST-com.armedia.acm.plugins.casefile.service.CaseFileStartBusinessProcessRuleTest.xml
BOTH           acm-case-file-plugin/TEST-com.armedia.acm.plugins.casefile.service.EnterQueueBusinessRuleTest.xml
BOTH           acm-case-file-plugin/TEST-com.armedia.acm.plugins.casefile.service.LeaveCurrentQueueBusinessRuleTest.xml
BOTH           acm-case-file-plugin/TEST-com.armedia.acm.plugins.casefile.service.MergeCaseServiceImplTest.xml
BOTH           acm-case-file-plugin/TEST-com.armedia.acm.plugins.casefile.service.OnEnterQueueBusinessRuleTest.xml
BOTH           acm-case-file-plugin/TEST-com.armedia.acm.plugins.casefile.service.OnLeaveQueueBusinessRuleTest.xml
BOTH           acm-case-file-plugin/TEST-com.armedia.acm.plugins.casefile.service.SaveCaseFileRulesTest.xml
BOTH           acm-case-file-plugin/TEST-com.armedia.acm.plugins.casefile.service.SplitCaseFileRulesTest.xml
BOTH           acm-case-file-plugin/TEST-com.armedia.acm.plugins.casefile.service.SplitCaseFileServiceTest.xml
BOTH           acm-case-file-plugin/TEST-com.armedia.acm.plugins.casefile.web.api.GetCasesByStatusAPIControllerTest.xml
BOTH           acm-case-file-plugin/TEST-com.armedia.acm.plugins.casefile.web.api.GetNumberOfActiveCaseFilesByQueueAPIControllerTest.xml
BOTH           acm-case-file-plugin/TEST-com.armedia.acm.plugins.casefile.web.api.GetQueuesAPIControllerTest.xml
BOTH           acm-case-file-plugin/TEST-com.armedia.acm.plugins.casefile.web.api.ListCaseFilesByUserAPIControllerTest.xml
BOTH           acm-case-file-plugin/TEST-com.armedia.acm.plugins.casefile.web.api.SplitCaseFilesAPIControllerTest.xml
BOTH           acm-complaint-plugin/TEST-com.armedia.acm.plugins.complaint.service.ComplaintAccessControlRulesTest.xml
BOTH           acm-complaint-plugin/TEST-com.armedia.acm.plugins.complaint.service.ComplaintCaptureFileEventListenerTest.xml
BOTH           acm-complaint-plugin/TEST-com.armedia.acm.plugins.complaint.service.ComplaintEventListenerTest.xml
BOTH           acm-complaint-plugin/TEST-com.armedia.acm.plugins.complaint.web.api.ComplaintWorkflowAPIControllerTest.xml
BOTH           acm-complaint-plugin/TEST-com.armedia.acm.plugins.complaint.web.api.CreateComplaintAPIControllerTest.xml
BOTH           acm-complaint-plugin/TEST-com.armedia.acm.plugins.complaint.web.api.FindComplaintByIdAPIControllerTest.xml
BOTH           acm-complaint-plugin/TEST-com.armedia.acm.plugins.complaint.web.api.FindComplaintsByUserAPIControllerTest.xml
BOTH           acm-complaint-plugin/TEST-com.armedia.acm.plugins.complaint.web.api.GetComplaintListOfValuesAPIControllerTest.xml
BOTH           acm-comprehend-medical/TEST-com.armedia.acm.tool.comprehendmedical.AWSComprehendMedicalServiceTest.xml
BOTH           acm-configuration/TEST-com.armedia.acm.configuration.service.CollectionPropertiesConfigurationServiceImplTest.xml
BOTH           acm-configuration/TEST-com.armedia.acm.configuration.service.ConfigurationPropertyServiceTest.xml
BOTH           acm-consultation-plugin/TEST-com.armedia.acm.plugins.consultation.service.ConsultationAccessControlRulesTest.xml
BOTH           acm-consultation-plugin/TEST-com.armedia.acm.plugins.consultation.service.ConsultationEventListenerTest.xml
BOTH           acm-consultation-plugin/TEST-com.armedia.acm.plugins.consultation.service.SaveConsultationRulesTest.xml
BOTH           acm-consultation-plugin/TEST-com.armedia.acm.plugins.consultation.web.api.GetConsultationAPIControllerTest.xml
BOTH           acm-consultation-plugin/TEST-com.armedia.acm.plugins.consultation.web.api.GetConsultationByStatusAPIControllerTest.xml
BOTH           acm-dashboard-plugin/TEST-com.armedia.acm.plugins.dashboard.dao.WidgetDaoTest.xml
BOTH           acm-dashboard-plugin/TEST-com.armedia.acm.plugins.dashboard.service.DashboardPropertyReaderTest.xml
BOTH           acm-dashboard-plugin/TEST-com.armedia.acm.plugins.dashboard.service.DashboardServiceTest.xml
BOTH           acm-dashboard-plugin/TEST-com.armedia.acm.plugins.dashboard.web.api.GetDashboardConfigAPIControllerTest.xml
BOTH           acm-dashboard-plugin/TEST-com.armedia.acm.plugins.dashboard.web.api.GetRolesByWidgetsAPIControllerTest.xml
BOTH           acm-dashboard-plugin/TEST-com.armedia.acm.plugins.dashboard.web.api.GetUserPreferredWidgetsByModuleTest.xml
BOTH           acm-dashboard-plugin/TEST-com.armedia.acm.plugins.dashboard.web.api.GetWidgetsByUserRolesAPIControllerTest.xml
BOTH           acm-dashboard-plugin/TEST-com.armedia.acm.plugins.dashboard.web.api.SetDashboardConfigAPIControllerTest.xml
BOTH           acm-dashboard-plugin/TEST-com.armedia.acm.plugins.dashboard.web.api.SetUserPreferredWidgetsPerModuleTest.xml
BOTH           acm-drools-rule-monitor/TEST-com.armedia.acm.drools.SimpleStatelessSingleObjectRuleManagerTest.xml
BOTH           acm-encryption/TEST-com.armedia.acm.crypto.AcmCryptoUtilsImplTest.xml
BOTH           acm-files-folder-watcher/TEST-com.armedia.acm.files.ConfigFileWatcherTest.xml
BOTH           acm-files-folder-watcher/TEST-com.armedia.acm.files.capture.CaptureFileWatcherTest.xml
BOTH           acm-foia/TEST-com.armedia.acm.plugins.casefile.service.CaseFileEnterQueueBusinessRuleTest.xml
BOTH           acm-foia/TEST-com.armedia.acm.plugins.casefile.service.CaseFileNextPossibleQueuesBusinessRuleTest.xml
BOTH           acm-foia/TEST-com.armedia.acm.plugins.casefile.service.CaseFileOnEnterQueueBusinessRuleTest.xml
BOTH           acm-foia/TEST-com.armedia.acm.plugins.casefile.service.CaseFileRuleTest.xml
BOTH           acm-foia/TEST-com.armedia.acm.plugins.casefile.service.SplitRequestRulesTest.xml
BOTH           acm-foia/TEST-gov.foia.service.FOIAExemptionServiceTest.xml
BOTH           acm-foia/TEST-gov.foia.service.RequestAssignmentServiceTest.xml
BOTH           acm-foia/TEST-gov.foia.service.ResponseFolderCompressorServiceTest.xml
BOTH           acm-foia/TEST-gov.foia.service.ResponseFolderNotifyServiceTest.xml
BOTH           acm-foia/TEST-gov.foia.service.ResponseFolderServiceTest.xml
BOTH           acm-form-close-complaint/TEST-com.armedia.acm.form.closecomplaint.service.CloseComplaintServiceTest.xml
BOTH           acm-form-report-of-investigation/TEST-com.armedia.acm.forms.roi.service.ROIServiceTest.xml
BOTH           acm-ms-outlook-plugin/TEST-com.armedia.acm.plugins.outlook.model.MsOutlookJsonSchemaValidTest.xml
BOTH           acm-ms-outlook-plugin/TEST-com.armedia.acm.plugins.outlook.web.api.CreateCalendarAppointmentAPIControllerTest.xml
BOTH           acm-ms-outlook-plugin/TEST-com.armedia.acm.plugins.outlook.web.api.CreateContactItemAPIControllerTest.xml
BOTH           acm-ms-outlook-plugin/TEST-com.armedia.acm.plugins.outlook.web.api.CreateTaskItemAPIControllerTest.xml
BOTH           acm-object-association-plugin/TEST-com.armedia.acm.plugins.objectassociaton.web.api.ObjectAssociationAPIControllerTest.xml
BOTH           acm-object-converter/TEST-ObjectConverterTest.xml
BOTH           acm-object-diff/TEST-com.armedia.acm.objectdiff.service.AcmDiffServiceTest.xml
BOTH           acm-object-lock-plugin/TEST-com.armedia.acm.plugins.objectlockplugin.web.api.AcmObjectLockAPIControllerTest.xml
BOTH           acm-onlyoffice-plugin/TEST-com.armedia.acm.plugins.onlyoffice.service.JWTSigningServiceImplTest.xml
BOTH           acm-onlyoffice-plugin/TEST-com.armedia.acm.plugins.onlyoffice.web.controllers.OnlyOfficeApiControllerTest.xml
BOTH           acm-pdf-utilities/TEST-com.armedia.acm.pdf.service.PdfServiceImplTest.xml
BOTH           acm-person-plugin/TEST-com.armedia.acm.plugins.person.service.OrganizationServiceImplTest.xml
BOTH           acm-person-plugin/TEST-com.armedia.acm.plugins.person.service.OrganizationToSolrTransformerTest.xml
BOTH           acm-person-plugin/TEST-com.armedia.acm.plugins.person.service.PersonAssociationEventPublisherTest.xml
BOTH           acm-person-plugin/TEST-com.armedia.acm.plugins.person.service.PersonDiffTest.xml
BOTH           acm-person-plugin/TEST-com.armedia.acm.plugins.person.service.PersonServiceImplTest.xml
BOTH           acm-person-plugin/TEST-com.armedia.acm.plugins.person.web.api.DeletePersonAssocByIdAPIControllerTest.xml
BOTH           acm-person-plugin/TEST-com.armedia.acm.plugins.person.web.api.DeletePersonByIdAPIControllerTest.xml
BOTH           acm-person-plugin/TEST-com.armedia.acm.plugins.person.web.api.FindPersonAPIControllerTest.xml
BOTH           acm-person-plugin/TEST-com.armedia.acm.plugins.person.web.api.GetPersonTypesAPIControllerTest.xml
BOTH           acm-person-plugin/TEST-com.armedia.acm.plugins.person.web.api.ListPersonAPIControllerTest.xml
BOTH           acm-person-plugin/TEST-com.armedia.acm.plugins.person.web.api.ListTasksAPIControllerTest.xml
BOTH           acm-person-plugin/TEST-com.armedia.acm.plugins.person.web.api.OrganizationAPIControllerTest.xml
BOTH           acm-person-plugin/TEST-com.armedia.acm.plugins.person.web.api.PersonAssociationAPIControllerTest.xml
BOTH           acm-person-plugin/TEST-com.armedia.acm.plugins.person.web.api.SavePersonAPIControllerTest.xml
BOTH           acm-personnel-security-plugin/TEST-com.armedia.acm.plugins.personnelsecurity.casestatus.service.CaseFileStateServiceTest.xml
BOTH           acm-personnel-security-plugin/TEST-com.armedia.acm.plugins.personnelsecurity.cvs.model.ClearanceVerificationSystemDeterminationRecordTest.xml
BOTH           acm-profile-plugin/TEST-com.armedia.acm.plugins.profile.service.UserOrgServiceImplTest.xml
BOTH           acm-proxy-http/TEST-com.armedia.acm.proxy.http.ProxyServletTest.xml
BOTH           acm-report-configuration/TEST-com.armedia.acm.pentaho.config.PentahoReportUrlTest.xml
BOTH           acm-report-configuration/TEST-com.armedia.acm.pentaho.config.ReportNameEnumTest.xml
BOTH           acm-report-plugin/TEST-com.armedia.acm.plugins.report.model.ReportTest.xml
BOTH           acm-service-audit/TEST-com.armedia.acm.audit.listeners.AcmAuditRequestInterceptorTest.xml
BOTH           acm-service-authentication-token/TEST-com.armedia.acm.services.authenticationtoken.web.api.GetAuthenticationTokenAPIControllerTest.xml
BOTH           acm-service-calendar-integration-exchange/TEST-com.armedia.acm.calendar.service.integration.exchange.CalendarEntityHandlerTest.xml
BOTH           acm-service-calendar/TEST-com.armedia.acm.calendar.DateTimeAdjusterTest.xml
BOTH           acm-service-comprehend-medical/TEST-com.armedia.acm.services.comprehendmedical.OutputTest.xml
BOTH           acm-service-compress-folder/TEST-com.armedia.acm.compressfolder.FolderCompressorTest.xml
BOTH           acm-service-compress-folder/TEST-com.armedia.acm.compressfolder.web.api.FolderCompressorAPIControllerTest.xml
BOTH           acm-service-config/TEST-com.armedia.acm.services.config.lookups.model.InverseValuesLookupTest.xml
BOTH           acm-service-config/TEST-com.armedia.acm.services.config.lookups.model.NestedLookupTest.xml
BOTH           acm-service-config/TEST-com.armedia.acm.services.config.lookups.model.StandardLookupTest.xml
BOTH           acm-service-config/TEST-com.armedia.acm.services.config.service.ConfigServiceTest.xml
BOTH           acm-service-config/TEST-com.armedia.acm.services.config.web.api.ConfigApiControllerTest.xml
